SBS 골프채널 이준실 본부장은 4일 “여자 개막전인 스포츠서울 김영주골프 여자오픈부터 디지털 고화질 (HD) 방송을 시작할 예정이며 중계 홀을 종전 5~6개 홀에서 9개 홀로 늘릴 것”이라고 밝혔다 .	ORG-B O PER-B O DAT-B O O POH-B POH-I POH-I O O O O O O O O O NOH-B O NOH-B O O O O O 
신지애-최경주 부진한 출발	PER-B O O 
한국 선수 중에서는 ‘슈퍼땅콩’ 김미현 (KTF)이 2언더파 70타를 기록해 공동 6위에 오르는 가장 좋은 출발을 했다 .	ORG-B O O PER-B PER-B ORG-B NOH-B NOH-B O O NOH-B O O O O O O 
●봉황기 전국대회 (오전9시 · 창원종합사격장)	POH-B POH-I TIM-B O LOC-B 
●고양국민은행-대전한국수력원자력 (이고 양종합운동장)	O LOC-B LOC-I 
●전주EM-천안FC (이상 오후3시 · 전주대운동장)	O O TIM-B O LOC-B 
●서울동북고-경기풍생고 (챔피언스파크)	O LOC-B 
대한항공-현대캐피탈 (오후2시 · 인천 도원체육관) 2차전 결과에 따라 취소가능	POH-B TIM-B O LOC-B LOC-I NOH-B O O O 
●경기매탄고-인천대건고 (오후2시 · 수원클럽하우스)	O TIM-B O LOC-B
단순히 요약하자면 10월 31일에 방문할 테니 따로 사탕 같은 걸 준비해두라는 내용입니다	O O DAT-B DAT-I O O O FOOD-B O O O O
패키지 비닐을 통해 보이는 사탕 디자인들이 하나하나 특별해 보인다.	O O O O FOOD-B O O O O
이건 삶은달걀을 전날 저녁에 미리 준비해 두면 되니까 자주 만들어 먹게 되더라구요	O FOOD-B O O O O O O O O O O
이렇게 삶은계란 혹은 날계란을 드시는 분들도 많구 말이에요.	O FOOD-B O FOOD-B O O O O
그 안에 삼각형 틀을 잡아서 삼각김밥을 완성했다.	O O O O O FOOD-B O
편의점의 삼각김밥이 통계청의 인구주택총조사와 소비자의 기부 참여 플랫폼으로 활용된다.	O FOOD-B ORG-B O O O O O O
오삼불고기 만들기 오징어와 삼겹살의 만남	FOOD-B O FOOD-B FOOD-B O
삼겹살은 언제 먹어도 육즙 가득 입안에 퍼지면 저절로 나도 모르게 고개가 끄덕여져요.	FOOD-B O O O O O O O O O O O
추위가 본격적으로 오기 전에 몸보신을 하기 위해 삼계탕을 먹으러 다녀왔어요.	O O O O O O O FOOD-B O O
길쭉하고 얇은 튀김용 새우를 노바시새우라고 해요.	O O O FOOD-B FOOD-B O
울집에서 둘째와 막내가 너무 새우튀김을 사랑합니다	O O O O FOOD-B O
집에서 처음으로 새우튀김 해봤어요	O O FOOD-B O
평상시에 만들어 먹는 방법의 샌드위치를 만들어 보았습니다.	O O O O FOOD-B O O
빵을 구워서 발라먹기도 하고 야채를 준비해 리코타치즈 샐러드로 먹기도 해요.	FOOD-B O O O FOOD-B O FOOD-B FOOD-I O O
부드러운 고구마 샐러드 만드는 법	O FOOD-B FOOD-I O O
내가 사랑하는 다섯가지안에 드는 라면	O O NOH-B O FOOD-B
간단하게 빵으로 저녁을 때웠더니 급작스럽게 라면이 먹고싶어졌다.	O FOOD-B O O O FOOD-B O
어묵의 종류도 많지만 모양도 다양해요.	FOOD-B O O O O
어묵은 길거리에서 파는 음식이다.	FOOD-B O O O
오뎅탕은 먹지 않는다.	FOOD-B O O
롯데는 메이저리그 출신 외국인 사령탑 제리 로이스터의 부임과 프랜차이즈 스타 마해영의 복귀로 관심을 끌고 있다 ．	ORG-B POH-B O O O PER-B PER-I O O O PER-B O O O O O 
지난해 정규리그에서 군팀인 광주 상무에 간신히 앞선 13위에 그쳤던 부산은 평균 관중 (4088명)에서는 광주 (6932명) 포항 (5949명) 제주 (5092명)에도 뒤진 최하위를 기록했다 ．	O O O ORG-B ORG-I O O NOH-B O ORG-B O O NOH-B ORG-B NOH-B ORG-B NOH-B ORG-B NOH-B O O O O 
부산은 지난달 9일 전북과 K리그 홈 개막전의 컨셉트를 안정환과 조재진 (전북)의 빅뱅으로 잡고 가수 '빅뱅'을 초청했다 ．	ORG-B O DAT-B ORG-B POH-B POH-I POH-I O PER-B PER-B ORG-B O O O O O O 
안정환을 통한 마케팅에 자신감을 가진 부산은 5일 수원전부터는 연중 행사를 뺀 별도의 이벤트를 줄이기로 결정했다 ．	PER-B O O O O ORG-B DAT-B POH-B O O O O O O O O 
지난달 29일 광주전에는 정몽규 구단주가 일반 관중들과 함께 터치라인석에서 경기를 봤다 ．	O DAT-B POH-B PER-B O O O O O O O O 
한 선수를 놓고 양 감독이 내린 결단의 결과가 5일 나타난다 .	NOH-B NOH-I O NOH-B O O O O DAT-B O O 
이날 차 감독은 대기멤버로 이름을 올린 안정환을 끝내 기용하지 않았다 .	O PER-B O O O O PER-B O O O O 
그가 찾은 곳은 그가 프로 생활을 시작, 꽃을 활짝 피운 친정팀 부산 .	O O O O O O O O O O O ORG-B O 
전북과의 개막전부터 4경기 연속 풀타임을 소화하며 녹슬지 않은 체력과 기량을 과시하고 있다 .	ORG-B O NOH-B O O O O O O O O O O 
차 감독과 황 감독은 안정환에 의해 드러날 그들 용인술의 결과를 기다리고 있다 .	PER-B O PER-B O PER-B O O O O O O O O 
또 AS로마는 부정하고 있지만 이적료도 2000만 유로 (약 280억원)로 곧 정리될 것이라고 전망하고 있다 .	O ORG-B O O O MNY-B MNY-I O MNY-B O O O O O O 
중하위권으로 떨어진 순위를 끌어올리기 위해 4월 첫 리그경기에서 두 팀 모두 반드시 승리가 필요하다 .	O O O O O DAT-B O O NOH-B NOH-I O O O O O 
서상민 (22)이라고하는 걸출한 공격형 미드필더를 발굴했지만 까보레를 대신한 웰링턴 실바 (21)는 그 무게감이 떨어진다 .	PER-B NOH-B O O O O PER-B O PER-B PER-I NOH-B O O O O 
